date, GDP, Per Capita, Growthannualchange
31/12/1960,3.749265015,81.5869,
31/12/1961,4.118647627,87.5174,5.9873
31/12/1962,4.310163797,89.4933,4.4829
31/12/1963,4.630827383,93.8839,8.6888
31/12/1964,5.204955901,102.9612,7.5698
31/12/1965,5.929231415,114.372,10.4194
31/12/1966,6.561108778,123.3305,5.79
31/12/1967,7.46451071,136.6381,5.4006
31/12/1968,8.04199916,143.2879,7.2332
31/12/1969,8.683116338,150.5478,5.5079
31/12/1970,10.02750945,169.124,11.3535
31/12/1971,10.66589668,175.1989,0.4684
31/12/1972,9.41501636,150.6172,0.8134
31/12/1973,6.38342949,99.2979,7.0643
31/12/1974,8.899191919,134.5322,3.5402
31/12/1975,11.23060606,164.8481,4.2114
31/12/1976,13.16808081,187.4969,5.1562
31/12/1977,15.12606061,208.7761,3.9477
31/12/1978,17.81151515,238.1558,8.0485
31/12/1979,19.68838384,254.3478,3.7584
31/12/1980,23.65444444,293.3919,10.2157
31/12/1981,28.10060606,333.4584,7.9208
31/12/1982,30.72597156,349.8418,6.5375
31/12/1983,28.69188976,315.0173,6.7784
31/12/1984,31.15182547,331.3888,5.0652
31/12/1985,31.14492084,320.6798,7.5921
31/12/1986,31.89907006,317.0298,5.5017
31/12/1987,33.35152927,319.9154,6.4523
31/12/1988,38.47274281,356.3352,7.6253
31/12/1989,40.17101823,359.7285,4.9598
31/12/1990,40.01042397,346.6685,4.4586
31/12/1991,45.6252347,382.7506,5.0616
31/12/1992,48.88460685,399.465,7.7059
31/12/1993,51.80994933,412.675,1.7577
31/12/1994,52.29345691,404.6068,3.7374
31/12/1995,60.63602242,455.5076,4.9626
31/12/1996,63.32012281,461.3999,4.8466
31/12/1997,62.43330034,441.7546,1.0144
31/12/1998,62.19195581,427.5063,2.5502
31/12/1999,62.97385572,420.6826,3.6601
31/12/2000,82.01774342,531.3065,4.2601
31/12/2001,79.48440398,499.2183,3.5544
31/12/2002,79.90498538,489.4255,2.5083
31/12/2003,91.76054294,549.8704,5.777
31/12/2004,107.7596839,631.4712,7.5469
31/12/2005,120.055292,688.5006,6.5188
31/12/2006,137.2640611,770.8433,5.899
31/12/2007,152.3857163,837.6315,4.8328
31/12/2008,170.0778141,914.7315,1.7014
31/12/2009,168.1527753,884.441,2.8317
31/12/2010,177.1656351,911.0904,1.6067
31/12/2011,213.5874132,1075.4505,2.7484
31/12/2012,224.3836208,1109.6791,3.507
31/12/2013,231.2185672,1126.0413,4.3965
31/12/2014,244.3608888,1173.3925,4.6747
31/12/2015,270.5561317,1282.4432,4.7311
31/12/2016,313.6298589,1468.8214,5.5267
31/12/2017,339.2056158,1567.641,4.4326
31/12/2018,356.128225,1620.7429,6.1517
31/12/2019,320.9094892,1437.1659,2.4976
31/12/2020,300.4256668,1322.315,-1.2741
31/12/2021,348.2625447,1505.0102,6.4871
31/12/2022,414.8859,1579.225,4.9312
